content,score,sentiment
"Slow app. Additionally, previous order data used to load in seconds; now it sits and grinds, fails to load order information most of the time now. Please fix.",1,-1
"As of // I am unable to create reviews or answer questions. They refuse to explain anything as to why and keep sending me to my email, when I am already on Amazon, where it can and should be resolved. They apparently have become inept at best. That's what happens when businesses get outsourced to hodji. After my orders are delivered in June, I will no longer be using Amazon or their inept app ever again. Also they only get one star from me. If it could be no stars it would be.",1,-1
"Very convenient and easy. some things are over priced which isn't Amazon's fault at all. only thing I would critique Amazon on is occasionally an item will get delivered to the wrong place but the saving grace is they don't say ""you're wrong"" when you say so. So overall I'm very happy with it especially as a recluse",5,1
Unfortunately after years of being a prime member I had to delete my account today. I got tired of amazon shipping everything item I order in padded envelopes. If I leave a bad review for a damaged item they just remove it. If I order a replacement item it's the same thing over and over again. Amazon support is just awful as well. Goodbye Amazon,1,-1
"The world at your finger tips, self restraint is key otherwise the credit cards fill up fast.",5,1
You can find almost anything with this app. Very easy to navigate. Good response to search criteria.,5,1
For the most part I am liking this app l don't like not getting any help on not getting everything in English and some of the items I have ordered came in wrong I asked for replacement to get the right size but twice it was wrong one item I got twice I still don't know how to use it but overall I am happy with this app,5,1
"Amazon prime is awesome, and customer service is very helpful and they problem solve for every customer.... Thank you Amazon....",5,1
"The live streams are super anoying and start playing when you are just trying to scroll past. Also, wishlists are super buggy.  words is not enough space to list everything wrong with them. They often jump back to the top or skip around while scrolling. Items appear duplicated (but are not, so don't delete them!) And an icon of a long removed item is still the default list image... There are about  other bugs as well.",3,-1
"Well, it's a shame that amazon doesn't have connection between countries since it's the same company. I need some vitamins from amazon Brazil that don't exist in amazon UK and I can't get amazon to deliver to the UK. Disappointed with amazon.",2,-1
"Now Everytime i try to open my account, order history and complete an order with the app.. all I get is a White loading Screen.. getting ready to just delete this app off my phone.. WORKED FINE FOR YEARS",1,-1
"I would give it a  star, only challenge is the consistent crashing of the app when performing certain actions, else really intuitive and great recommendations on alternative products.",4,-1
"Amazon claims I've made all sorts of violations when I've left reviews for products. That's interesting because I've rated a few songs, but I've never done anything inappropriate or said anything rude to anyone. Have fun dealing with the Attorney General.",1,-1
"Still waiting ( years now) for my delivery instructions to be followed! I very much DISLIKE the orange pop ups now when you're shopping, makes me not want to use your app anymore, think I'll use Google instead (although they're as bad!)",1,-1
"Don't take your eye off of Amazon or you're bound to miss a great deal or some improvement they thought up. Get with it. There's a lot to take advantage of, rather than schlepping around with the rest who let the economy drag them down.",5,1
Love the app it's easy to go through and purchase items. Love that most items are reasonable unlike most they try to price gouge so you have to want out for those people.,5,1
I mean it has good quality stuff but it says free delivery but then you have to pay delivery and i think their should be more things that has free delivery but over all its a good app,4,1
"Quick and easy way to shop, especially around Christmas time. Do away with crowded shopping centres and the likes and the beauty thing is, your items are delivered straight to your door. Can even get your goods gift wrapped!",4,1
"Frustrated with how they changed comic/book buying, now you can ONLY purchase them from the Amazon website, not the Amazon app, Kindle app or even the Comixoligy app which is how I've been doing it, which made finding the next book in the series easy to find, now I end to go into the Comixoligy app, find the book, open the website and try and find it when before all I had to do was go to the series and find the new book and buy it.",3,1
"In the past few months amazon has become horrific. Terrible customer service since they took it from India, glitches with the app, poor quality merchandise, nearly impossible to get a refund, greedy, penny pinching new ways, and the icing on the cake--we can't buy digital books anymore on amazon kindle or on amazon. DUE TO THIS BS, I'VE CANCELED MY PRIME MEMBERSHIP PERMANENTLY. WILL NOT SHOP AMAZON AGAIN.",1,-1
"There are so many online shopping apps available but, Amazon is my fave by far. It's so easy to return products when they don't fit website description. No questions asked. Just be honest of course. After all, honesty is still the best policy when buying products online.",5,1
I been locked out after I was purchasing a good amount of things. And just because I ordered separately I got holds put on me and right after a purchase it asked me if I wanted to continue shopping. Well I would end up shopping. Why hold my money and still yet I get no items. On top of not being able to log in. Makes me feel robbed,2,-1
I have  account that i was able to switch back and forth. The new restrictions caused me no able to switch back. it's an inconvenient for me.,2,-1
"it's so convenient,and I love the customer service,if I ever need them they are always so helpful and courteous:)",5,1
Can no longer buy Kindle books through this app - I now have to open the website to do this. What a ridiculous situation that Google and Amazon can't work together to make customers' lives easier. Corporate greed and petty point scoring.,1,-1
Absolutely love it!!!!!!! I use this app for everything Shopping . Thanks a million Amazon. The updated version is fantastic. The UI is great and smooth love the buttons for Buy Again and orders. The tracking is superb. I just brought my Dad a Fire stick for an early birthday gift and he thinks it's great all streaming services under one roof!!!,5,1
idk what I'd do without the convenience of Amazon Shopping for certain personal items & other everyday needs! Love it ️,5,1
"As it stands I can't look at my orders through the app. It loads forever and alternating between Wi-Fi and data provider doesn't fix the issue, whereas every other app responds perfectly. Fix this, it's getting aggravating.",1,-1
Great for shopping for what you need especially for your pet. Very reliable and backed by the Amazon guarantee when a vendor fails the customer.,5,1
Its great it has almost everything I need or want for great prices! I definitely recommend you get this app! It was life changing!!!,5,1
"Dreadfully app. It repeatedly shows dozens of items unrelated to my searches, to the sacrifice of the items of interest which justs wastes my time. Applying filters makes it go from bad to worse. Shame on you Amazon.",1,-1
Update has ruined my account. Updated the app now i have to do a OTP but it doesn't send an OTP to my email. So i am now locked out of my account! Thanks amazon! I would like to close my account and a full refund for my prime since i cant even access my prime now,1,-1
"Prime was good, now it means nothing. Not next day for most prime items and can't even make the specified delivery day on those prime items, even though they set the day!",4,1
I have a little trouble navigating the app but exemplary customer service smoothed out the wrinkles. This customer service makes shopping with Amazon a pleasure after the initial headache lol. Thanks Amazon!,5,1
Big thumbs down to the new tracking for deliveries made by Amazon delivery drivers. Either the tracking is broken or the delivery drivers in my area like to drive around in circles. I watched it go by my house twice on the map. Over  minutes to supposedly make the last five stops in a  Mile area.,1,-1
"Always satisfied. Huge selections, generally great customer service. Keep in mind not always the lowest prices.",5,1
Can't cancel email notifications from this app. I get push notifications and emails too. So annoying.,4,1
Looping through the same options when im trying to return an item is extremely draining. Been waiting almost two months. Says its lost. Cant get to a point of actually returning or refunding cause it just says speak to the seller. Amazons the seller. Talk to customer support. Which item. Talk to seller. Amazons the seller. Which item. Talk to the seller....awful experience. At very least it is overwhelmingly discouraging. So appearantly im just out . Guess ill just kick rocks,2,-1
Now that you cannot shop for books in kindle app. Will you please add a more prominent link for the kindle store.,3,1
"I want to give this  stars, but I'm giving  because it is absolutely INSANE how Amazon hides the sign-out button. It should be right THERE, in front of me, maybe  click away. But no, I have to click on  lines, scroll to the bottom, click on settings, scroll to the bottom, and there's Sign-Out. I hope with  star, this generates attention. In this day and age where cyber security is so important, this is a HUGE flaw.",1,-1
"Amazon Daily Deals Are Amazing!! Low prices every day. Search without all the annoying ads. Shopping on a website that's laid out Great. Thanks to all the behind the scene ppl whom don't get enough credit. I appreciate your hard work, as many others do as well.",5,1
"Hasn't worked since last update - as soon as I open it I get the message ""Something has gone wrong our end"". Been using it for years prior to this without issue - hope they fix it soon. Update: Dev - please advise. Update: Still not working after latest update wigh same ""somthhing has gone wrong our end"" message. Update: with every update things get worse - last two updates are unusable, crashes, freezes, pictures of dogs, etc. Amazon - get some real android devs!!",1,-1
Great app can usually find everything im looking for. Only wish the dvds would always say specifically what country they are from when you go to buy them.,5,1
"nd review again one star had to cancel member staff didn't care all I wanted was to pay but no help, tell you no issue on there end and contact bank which was rubbish they take membership from same account and money in it and no approval sent to banking app rubbish service staff couldn't care canceled my membership with out any help offer laughable",1,-1
"Much improved, cleaner, more efficient, greater relevance, push adds greatly diminished. Some navigation still a little awkward, common tasks (tracking and order status) can still require too mush navigation. One suggestion: Order combination or edit prior to shipment. This would reduce email notifications.",4,1
"app works great, the new layout is easier to use with buttons across the bottom so that you can easily get to things you have ordered now. it was always a bit of a faff before. much easier to use than the previous version.",5,1
"Dude, it's , halfway through no less. Get with the times Amazon. Why have you STILL not added the simple option to enable dark mode on any android phone? Seriously, just a simple toggle, LIKE LITERALLY every other app already has now. Low star review until this basic feature is added.",1,-1
"Due to update, I can't buy ANYTHING on the apps that isn't from prime of other streaming platforms, like Starz. The only way I can buy stuff that I want is thought the website. Honesty Amazon should just pay Google that % for digital goods, they're putting us through hell to get a quick buck or two. This is so disappointing, I'm expecting after the next week, people are going to notice and the apps rating will drop and they'll suffer more then what they would have if they just payed.",1,-1
"I didn't use my acct. for a few mths. and went to sign in and I forgot my password. No big deal right? Not a chance... I had to call their horrible support office which took days to get a call back from  diff. reps,  ""accidental"" times being hung up on, refused my attempts to speak to a supervisor, and being told I have to give them my old address from  + yrs. ago or I wouldn't be able to sign in? Not to mention, this madness is all over me trying to update my old credit card...BYE  EVER",1,-1
I Love shopping with Amazon! I also Love how prompt they are how they make it so easy to shop and check out!! That's great customer service!! Thank you!!,5,1
"thank you AMAZON for making deliveries convenient for me to pick up. your return policybwas a bit confusing but manageable. Your phone agents are OUTTA THIS WORLD!! Their knowledge is extraordinary!! Most imporyant, many thanjs to the folks at the HUB, your pkg handlers. You all are the EVERYTHING!! Lastly, amazon, I've always looked at your company as a progressive entity. That being said the idea of allowing your irreplaceable workers to unionizewould be notable and definitely history-worthy..",5,1
"Language is key for finding stuff. And I find it frustrating that the app has none. I need to disable the app, eneble and update it once in a while because it keeps changing from english to french. I did not ask for that. I did not change it to french. IDGAF about Quebec's provical law about engilsh or french. My personal preferences and personal... for the bilions Amazon is worth, I think having language preferrences available in app something easy to do, it's a minimum, you own to your users.",3,-1
"I like the prices... BUT! The support team don't pay any attention to what you explain when there is an issue. Today, the lawnmower I ordered came in, the bolt is defective and the nut won't go on all the way. When I tried explaining this to customer support, the not so intelligent person starts telling me to check power connections and fuse boxes... I said absolutely noth about whether or not it turns on. I have had nothing but issues with their support team",2,-1
free returns help me feel better when purchasing products I'm not sure about. this is one of my favorite features of Amazon prime.,5,1
"Whatever you want Amazon will provide you with numerous selections differing in styles, colors, prices, and perks or benefits offers.",5,1
Amazon has definitely gone rubbish Because of their so called updates you cannot buy a film you cannot buy a film now on Amazon prime movies prime movies I even found up and said why can't I and said why can't I buy one they couldn't answer me so it's not answer me so they could not even help me I used to think Amazon was brilliant but they've really gone down here but they've really gone downhill they've tried to make something better that doesn't need fixing Bad job Amazon,1,-1
Good app easy to navigate I do wish that they stop showing things that are not related to your search but hey that's a form of advertising,5,1
Easy checkout with a $ discount first time shopping through the Amazon app! Seamless shopping using on my cell phone. Love this app!!!,5,1
"No way to get rid of the alexa button, no way to edit alexa settings, not even by following the instructions. Impossible to clean up recommended lists. Constantly refreshes and you lose your place. Photos don't load. Videos don't load. Surveys cast votes just by scrolling past, no pics or text, so I don't even know what I accidentally voted on.",1,-1
Awesome all the way around! Makes shopping easy and I can find the vegetarian food I like!,5,1
Why is it so hard to load my orders page? It keeps telling me something went wrong. I am really hoping the new update has fixed whatever is going on with the order tracking page.,2,-1
I can't live without this Amazon Shopping application. I am now dependent on it. It gets better with each update.,5,1
"Taken money without my consent twice. Can't click on anything without them taking money and secretly signing you up to prime, don't ask if that's what you want or inform you and make it very hard to cancel and get money back. I wonder how many poor people and old ones have money taken from their account every month just because they went on amazon and are unable to get money back. Or don't even know its taken. Just stop! Just coz u can (aka found legal loophole) doesn't mean u should. Stop.",1,-1
. Stars. App works ok. Would be nice if we could use our fingerprint to log in or confirm order before the transaction is made. Should be an additional security requirement before your credit card is used. Also needs a dark theme. Home menu too busy. Doesn't allow you to customize the menu.,2,-1
I fined the best stuff ever I never really ordered from Amazon prime but this is my new favorite shopping app. It has the best quality ever this app is just the best.,5,1
"Horrible, they sent me wrong thing  different times and instead of fixing the problem easy way, they want to return the item & tie money up for days. Customer service is idiots to, they can't do anything for you. DO NOT USE AMAZON!",1,-1
"Love the app, except it would be nice if the language wouldn't change to Spanish when it updates",3,1
Amazon is becoming the new ebay there is so many scalper accounts on Amazon now it's ridiculous scalping stuff you need to just basic stuff like socks or fans...,1,-1
Terrible update. Menus are all changed. Can't find the wish list. Not user friendly.,1,-1
"Love Amazon most of the time. There are very few times items dont work out. The prime benefits is a lil high priced but I guess its worth it for shipping. I don't like how prime, music, and the audible are all individually priced at $. a month. But I use Amazon by buying when I can. Living cost are get too high!!!  sheeeeesh",4,1
"I love Amazon, so easy and convenient. Using Amazon has saved me so many times especially with those last minute purchases.",5,1
My Absolute Favorite place to shop. I find things I didn't even think about and more. I compare shop. I like the quality. I like the speed of delivery. customer service is tops.,5,1
DO NOT USE THIS APP IT MIGHT BE A REAL SHOP BUT CUSTOMER SERVICE IS TERRIBLE. Customer service will not help you with anything just got told that I cannot get help from anybody for a fraudulent charge on my card so I've lost the money my account was locked and now they are hanging up on me,1,-1
"Love Amazon, use it as much as I can afford! With a new granddaughter and one on the way it's easy to shop Amazon. Love Amazon Prime free shipping, its AWESOME!!",5,1
"when I need anything , seems like Amazon has it and it's in stock. these days I order from Amazon because nobody else has what I'm looking for. I am very much pleased and satisfied with my Amazon orders. ",5,1
"Constant late deliveries, Prime is not worth it anymore. I will not be renewing my subscription.",1,-1
"Ordered many, many, many items, from AMAZON, with only a couple of minor problems, that is quite exceptional to me... I would Recommend AMAZON to anyone, wanting Quality Products, at an affordable prices, the more you order Remember, the more you save...  STARS &  % FOR CUSTOMER SATISFACTION...",5,1
I love shopping here. Easy to understand & finding things is easy. Helpful My place to go for online anything. Can find what is needed. Prices & Delivery's are rite on. Thanks Deb,5,1
Another go to source for me it caters to everyone of my needs and provides them at a reasonable price. Bulk items come in handy too. Subscription for various medical products is quite useful and I am a proud member of the prime membership for nearly  years. That program is bountiful so many uses within Amazon truly amazing.,5,1
I have lost all trust in this company in this company as I got billed not only for my Amazon prime But Amazon music also charged me a one year subscription fee that I never even asked for Besides that about every rd package that I order seems to get lost or delivered to the wrong address,1,-1
"Good app, always find what I need. If there are issues customer service quickly addresses and resolves the issue.",5,1
"Apparently, there was an update recently. This seems to be associated with the app freezing when I look up previous orders on my Samsung AS phone. Previously worked perfectly.",3,1
"The motion and movement all makes me dizzy feeling and stressed, Id love accessibility options to make things not move around and move so much and be more simple",1,-1
I love shopping on Amazon because you get your items really fast and it's good quality items. I haven't had anything that I have gotten from Amazon that I need to ship back to Amazon. So I give it a  stars,5,1
"Amazon is my go to for just about everything from groceries, gym equipment,glasses, supplements. There is nothing they don't have . I am pleased with the deals and find myself never having to go to the store, and with gas prices the way they are it can save you monet that way as well.  %off on baby products if you have a membership, which is a no brainer.",5,1
"Amazon started a Prime membership for me without any authorization or action on my behalf. Good job, you lost me as a customer for good. Don't take people's money without their permission!",1,-1
"The app is mostly good but has weird design choices. For example there is a feature to switch from a personal to business account so you can order business stuff from the business account but once there you cannot switch back to the personal account cause someone forgot to design a button or link for it so you are trapped, there is not log out button either on the business screen so you are forced to uninstall and reinstall the app to log into the personal account again. Bad design thinking.",2,-1
/! nothings perfect because we're humans. thanks to all the employees that bust their tails to make life easier for other!,5,1
super convenient but not always the best price but to balance they are very good with customer service,4,1
Due to pride advertisements and gay ads I've canceled my service and removing the app. There should have been a opt out option. I believe such content is inappropriate.,1,-1
"Used to be a great place to order something needed ASAP. However, I no longer see the benefit of Prume shipping if it is consistently arriving late. Stop advertising -Day Shipping if you can't deliver on time.",2,-1
Since the update it's worse. Really slow and doesn't seem to react sometimes. Disappointing. Used to be a good app.,1,-1
"What's the point to have an app if I can't manage my subscriptions from it nor from your website! I wanted to sign up for prime and it's ridiculous, not from prime app, not from amazon app, nor from the website it possible! If you wanna make money do something about it!",1,-1
Last  times i have bought in the last  months each have came either damaged or item was half gone in a sealed container. Wipp only be ordering books from now on. Sellers and amazon need to be help accountable for bad repeated service,1,-1
"The app has literally failed to start up! I just downloaded the app and clicking sign in....it just stalls and stalls....till it says my login has failed without any input. When I choose create an account, it just stalls forever!!",1,-1
"Now that it is now longer possible to download books via this app (or via the kindle app), what we're supposed to do is use the app for making a list, and then use a web browser for downloading what we have saved on our list. Ridiculous. I understand this is a Google Playstore restriction, but it has made this app useless.",1,-1
"Terrible app. Amazon won't give support without this app, yet this app doesn't work!? So they've charged me for products that they've not delivered, and then made it almost impossible to contact them. I've reinstalled this app multiple times, but not once has it logged in, every time I try the app crashes and tells me to log in again. This is what happens when big companies habe no competition, they get greedy and lazy, nothing but disgusting thieves now.",1,-1
"always good delivery and always have the things I never thought existed plus I get  day delivery, streaming TV books etc this is the best thing I subscribe to",5,1
Just awesome service every time I deal with Amazon. Thank you to all of the workers from customer service to the delivery driver's.,5,1
"Hi! I love Amazon. This app is pretty good though it takes some time to find what I need. But what is extremely irritating is Alexa button in the right bottom corner. It blocks the view, opens by itself when I try to press something else. How to get rid of it? I never use Alexa. Does anybody know how to disable it? Thank you!",3,-1
Love Amazon service. Quick delivery. Only setback is cost of shipping.,5,1
Shopping on Amazon can sometimes be tricky and very pleasant at other times. You have got to understand how they work and open your eyes and sense. You may find an offer at one time and lost it. There are some very good offers but you must be very fast in getting them.,4,1
It's been great to me more then not but as of lately they keep saying the package is delivered days before the package arrives if it arrives at all. Amazon is getting to big and it's starting to show from their lack of attentiveness.,4,1
"Won't let me add alexa due to a ""bug"" not happy. I have looked for updates for  weeks now and have also uninstaled the app and reinstalled it and it's still not working",2,-1
"Can't purchase kindle books on a shopping app never heard such nonsense. It's either a rort to make you visit full website or google needs to pull their heads in and let people use the app for shopping which includes kindle books it is a purchase. What's the difference a purchase is a purchase or are Google trying to force you onto one of their ereaders, seems very odd inconveniencing people like this. Appears Google forcing companies onto their billing system disgusting",1,-1
I love this app. I buy many products from Amazon. I can compare prices from home. I have no problem loading my pages. To have a great shopping experience with the Amazon app. people need a good update computer or tablet. If your device it's old it will be slow loading the app. and you are going to be disappointed.,5,1
"Decent app-BUT, it WILL NOT save the locker address for some reason. This started several months ago. I have to continously select the delivery location (a local locker) every time I open the app. Aside from that it's a good app!",4,1
they always deliver on time. with a quick fix if something is wrong with an order,5,1
"Wow, purchased multiple clothing items for my mom and I, which all fit perfectly. Prime quick delivery and great service",5,1
Outstanding shopping experience. Unique with its own style and excellent prices.,5,1
"Sucks lately. Both the web page and the app suck after last update. Its slow, glitches, freezeing when watching videos or kicks u out of app, if not fixed will have to shop else where for holidays",4,-1
"Honestly they just keep taking my money. They sneak me Amazon prime for ""free"" so that they can keep making money off my card. I'm in so much debt and they are still hitting my account.",1,-1
Thanks for nothing! I tried to sign up for Amazon Prime with my EBT card on my phone. Which I used to be able to do. Now it says I cannot sign up for Amazon Prime on a mobile device. I am elderly and I have no one to help me to sign up for it. I tried calling your customer service all I did was keep getting the runaround. I tried your live chat. The person did not even try to acknowledge my question. I recorded the phone call and screenshot the live chat. They are going on social media pages.,1,-1
Hello I was just saying that Amazon will be a great shopping spot to look at a couple of outfits go and check it Out. Yvonne You can find a lot more than you think look for head to toe go on you love it,5,1
"You MUST ENSURE I R receiving FREE SHIPPING U GET BEING A PRIME MEMBERSHIP.......I DELETED  ITEMS CUZ SHIPPING WAS $. !!!! THAT IS JUST STUPID..... LESSENS MY ITEMS I CAN GET NO SHIPPING COST IS WHY I 'TRIED"" PRIME MEMBERSHIP TO GET FREE SHIPPING. ON ITEMS I BUY ON AMAZON . RIPP OFF.. .. DON'T PAY a penny for PRIME MEMBERSHIP.........",3,1
"Love Amazon! You can find so many Amazing things an I highly suggest getting Amazon prime so you can get free and fast shipping, you also get to read books, play games and watch tv shows and movies on Amazon prime.",5,1
"Slow at the best of times, crashes when it wants to be more annoying. One would be safe to assume that the most current interation of a product would be, at the very least, an upgrade of the previous few product it was replacing but do not expect that from this app as of June , . Preferably, it would be the best out of the entire line, but that would be asking too much. Heck, I would even take something developed by a teen ""dark web hacker"" over whatever this thing is. Thank you Amazon.",1,-1
"Best shopping app out there. Works super smooth, easy to use. Love it.",5,1
"When did ya'll start allowing anybody to change passwords for someone else without their permission? I went through hell to rescue MY accounts and I couldn't do it via this app. I'd thank you for sending me an email telling me the password was hacked - except YOU ALLOWED THE HACK! Also, if I'm forced to speak to Alexa to order, I'll cancel my account. It doesn't understand my words. Yet it blocks my shopping to talk, and I have a speech impediment. ADA! Look it up!",1,-1
"Can't buy kindle books, which I understand the reasons for, but everytime i click on the website, it automatically opens the app whether I want it to or not. Which. I. Still. Cant. Buy. Kindle. Books. On. Why are you making it so hard to buy Kindle books? Nevermind, found out you can turn off supported links in the app, so can now access the website. Im guessing this was part of the latest update?",1,-1
"Why does everybody upgrade their apps to be worse than they were before? This upgrade slows everything down, they have changed everything around, it is harder to find your orders and other things. Why find a way to make something that's working fine into something more aggravating? Hate this upgrade. Oh also since this upgrade every . seconds they send you recommendations spamming your inbox.. with no way to stop it",1,-1
"I  Amz.  Easy shopping, (mostly) free shipping, quick deliveries, easy returns, etc. Since Bezos sold it... it's changed (& NOT for the better) MANY changes that DIDN'T need to be. Many MORE that NEEDED but DID NOT GET changed - . Bulk edits for lists, etc . Payment options - use Gift Card ONCE or ALWAYS  (I ONLY use GC for AMZ PRM VIDS, NOT the store. . More crashes, closing down, etc. I've reopened & reinstalled this app a LOT & STILL happens PLEASE, FIX THESE!!! 'TIL THEN - ⭐  SORRY!",3,-1
"Great price and I get exactly what I expect. However, once in awhile the tubes come in smashed that is the only reason for  stars instead of .",4,1
Good app so far. Just recently have not been able to find where to subscribe to prime since I unsubscribed a while ago. Absolutely infuriating due to the app sending you down a rabbit whole of dead ends and useless information regarding Amazon prime. Please fix the app!,3,-1
"great for what it cost,no point in starting the car and paying for parking, get what you need the next day",5,1
"i love shopping on Amazon! They are super fast, returns are v quivk and easy, and products are % guaranteed! what more cld u want?!",5,1
I love buying almost everything on Amazon. Not too sure about furniture though. It's convenient and great customer service / .,5,1
Refuses to offer refund or replacement. I bought an item for my sons birthday went to open it and it was severely damaged the box didn't show any signs of damage. It past refund policy because of course I didn't open the item before I have it to my son. And unlike most people I buy things in advance. Amazon says it's the rd party seller but they refuse to budge. This item was over $ so not cheap but left with a pile of trash since it is completely busted! I'll file a small claims suit,1,-1
"An error message is displayed every time I open the Amazon app. And when I am try to buy something, it shows the same message. Below is the error message and the details of the mobile I am using. The error message I receive: ""UH-OH Something went wrong on our end."" Device Details: Samsung Galaxy S+ G (SM-GB/DS) Android Version: ",1,-1
Terrible !!! This app all of a sudden decided I was Spanish & changed the Language.... I need it back to ENGLISH & can't find where to go to change it back !!!!,1,-1
"I LOVE the ease of purchasing transactions, including returns through the app. The only thing that prevents a  star rating is that I'm not always able to view the product videos. When reading through reviews I usually get kicked off the app.",3,1
Very convenient! Tho in one point they had failed me to change my address and customer service couldn't even do it til that I have to cancel my order that I need it so bad! But its all good.. overall experience I am still satisfied..,5,1
"Used to work well and it still would except it seems to randomly decide that I speak Spanish and resets itself to that language. I have no idea why, but once it does that I have a hard time figuring out where to change it. It's really becoming a pain in the a$$.",3,-1
"We absolutely love the app, not  with the delivery system but it's been getting better. Thanks",5,1
it's a very nice app so nice infact that I'm always using this app for my model kit hobby. And thank you Amazon employee for all that you do.,5,1
" I like amazon,in shopping with them make everything much better,to have first hand, when looking for a item.",5,1
"Love shopping Amazon Fresh. Every order has been correct, some deliveries in just hour or - days. I have mobility issues, ordering thru Amazon is so convenient. Keep up the Great work.",5,1
"Now I can't buy any books on the app nor kindle AND when I go onto my browser on my phone to buy, it redirects me to this app. So backwards! Do better, billionaire.",1,-1
"The app used to be simple to use. It was easy to open, click on orders icon on main page to see what and when orders were arriving. When app update I now have to go to several pages to do the same thing. When I sign in if I want to go shopping I will but now forced to go through pages of suggestion to get to my orders. Don't like the update at all. This is why I give  star. Like they say if it not broke don't fix it.",1,-1
"Good app but like % of the time i order an item from a rd party seller amazon says my order is arriving by a date and even after it is delivered it still says it is arriving on a date, and then on the estimated delivery date it says arriving today by pm when i already had it for a week or a few days, and then after it says my order is running late, and sometimes it says your parcel maybe lost after it passed the now expected date, and i have the item, also does that on the browser as well",4,1
I love Amazon shopping. I buy a lot of stuff off of it. It's easy to use and the prices are fairly decent most of the time.,5,1
"It so convenient, its the best for shopping. And the return procedure is pretty painless.",5,1
"I use Amazon for pretty much everything. I always filter on Amazon prime and my shipments are never late. Also, the return process is so easy! Free shipping free returns as long as you're a prime member.",5,1
"Everything works fine, very fast access, I enjoy the ease of using the app.",5,1
I've gotten several emails saying they haven't received items I returned and that they were going to charge me for them. So I go through the long process of calling and talking to someone only to have them tell me that my account shows it was received. So I'm left wondering what's really happening with the return and how closely I need to watch my account for false charges.,3,1
"I've been an Amazon Prime customer for several years. I don't have an issue with the software or customer service, Returning items is simple. However, my only issue lies with Prime delivering items within / hrs. If I have to wait / days tops I feel that Prime isn't working out entirely for me. With the exception of free shipping but not the quick turn around that you have come to expect. Other then that, Amazon facilitates shopping online. Spending money has become way to easy. lol",5,1
"The systems made many charges, I called it and they explained that was impossible because it is perfect the system. So I had to pay your error. Bye Amazon",1,-1
Usually reliable. Challenging depth of features are difficult for me to get through.,4,1
"For the most part the app runs smoothly. Every now and then it lags or gives different items than asked for. But, I like the app and will keep using it.",4,1
"The worst app ever. It's incredibly difficult to navigate and because they've attempted to load almost every feature provided from Amazon in this app (the account page is insane), the most basic services glitch and fail, ie. Loading a zoomable image from your phone. You're lucky to get / pictures showing up when you click to zoom, and that's all you'll get forevermore from that listing. All that money and can't even make a decent app? Maybe make one only to shop so it's like other store apps?",1,-1
I like the idea that you can get your order shipped fast and if return is required very simple,5,1
"I don't hesitate to recommend Amazon for All your needs. Excellent quality, price,and delivery.",5,1
"What did you do?!? I used to love the app, but after updating today (//), it's messed up. Why can't we buy Kindle books in the app anymore?!? STUPID idea! Bring back Bezos! At least he knew what he was doing! I would give this update  stars if I could!",1,-1
